artist1.x,artist,track,url,artist1.y,birth,death
Modest Mussorgsky,Modest Mussorgsky (1839-1881),Night on Bald Mountain,https://open.spotify.com/track/5rPqo5uyPn5MDoJkkiu8Nr,Modest Mussorgsky,1839,1881
George Frideric Handel,George Frideric Handel (1685-1759),"Messiah, HWV 56, Pt. 1: No. 4, Chorus. And the Glory of the Lord Shall Be Revealed",https://open.spotify.com/track/4Ygqf5DFZooJDqYkzDagKy,George Frideric Handel,1685,1759
Johann Strauss II,Johann Strauss II (1825-1899),Die Fledermaus: Overture,https://open.spotify.com/track/6FbPeP7zBqDfWUFSotbmUq,Johann Strauss Jr,1825,1899
Sergei Prokofiev,Sergei Prokofiev (1891-1953),"Peter and the Wolf, Op. 67 (Remastered): The Story Begins",https://open.spotify.com/track/0wnXJy6kkLgLpcbFGnAXBI,Sergei Prokofiev,1891,1953
Paul Hindemith,Paul Hindemith (1895-1963),"Hindemith: Mathis der Maler, Bild 6: ""Der liebste Vater, er verstand mich"" (Regina, Mathis)",https://open.spotify.com/track/6cBuuO6BUacsua6WC6LAaw,Paul Hindemith,1895,1963
Frédéric Chopin,Frédéric Chopin (1810-1849),"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",https://open.spotify.com/track/1VNvsvEsUpuUCbHpVop1vo,Frédéric Chopin,1810,1849
Johann Strauss II,Johann Strauss II (1825-1899),"An der schönen blauen Donau, Waltz, Op. 314",https://open.spotify.com/track/4J0e4gEqaLQlG5EM0wws1K,Johann Strauss Jr,1825,1899
Thomas Morley,Thomas Morley (1557-1602),Morley: Now is the Month of Maying,https://open.spotify.com/track/73CzfSsf5n6F2VeRM8GCLa,Thomas Morley,1557,1602
Johann Pachelbel,Johann Pachelbel (1653-1706),Pachelbel: Canon and Gigue for Three Violins and Continuo in D Major: Canon,https://open.spotify.com/track/7ci2JgRHMiVIAueWOiWMye,Johann Pachelbel,1653,1706
Johannes Ockeghem,Johannes Ockeghem (1420-1496),Ockeghem: Missa pro defunctis: I. Requiem aeternam,https://open.spotify.com/track/3zlS9Y1jztEKcTId4OESOd,Johannes Ockeghem,1420,1496
