artist1.x,artist,track,url,artist1.y,birth,death,composition_year,source
Wolfgang Amadeus Mozart,Wolfgang Amadeus Mozart (1756-1791),"Requiem in D Minor, K. 626: Sequence: VI. Lacrimosa dies illa",https://open.spotify.com/track/5p3xMIHQ6YoAIaSgZeOkNa,Wolfgang Amadeus Mozart,1756,1791.0,,NA
Ludwig van Beethoven,Ludwig van Beethoven (1770-1827),"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",https://open.spotify.com/track/2ygeBLTP9uu3OW3VTulD8N,Ludwig van Beethoven,1770,1827.0,,NA
Johann Stamitz,Johann Stamitz (1717-1757),Symphony in G Major: III. Presto,https://open.spotify.com/track/5XNmZTTVL33LPjUWkblOMW,Johann Stamitz,1717,1757.0,,NA
Edvard Grieg,Edvard Grieg (1843-1907),"Lyric Pieces, Book 1, Op. 12: Arietta",https://open.spotify.com/track/2YIaZvqivJGIFvyeDR2YUr,Edvard Grieg,1843,1907.0,,NA
Johannes Brahms,Johannes Brahms (1833-1897),"16 Waltzes, Op. 39 (Version for Solo Piano): No. 3 in G-Sharp Minor",https://open.spotify.com/track/5eqhhghDRfP4hVqBTTxUv5,Johannes Brahms,1833,1897.0,,NA
Arnold Schoenberg,Arnold Schoenberg (1874-1951),"Schoenberg: Verklärte Nacht, Op. 4: I. Grave (1943 Version)",https://open.spotify.com/track/6gz6rxRge7BLRreM9uJXxI,Arnold Schoenberg,1874,1951.0,,NA
Arnold Schoenberg,Arnold Schoenberg (1874-1951),"Schoenberg: 6 Little Piano Pieces, Op. 19: No. 1, Leicht, zart",https://open.spotify.com/track/6ISQeh1wDQtGLt6fDHtS0C,Arnold Schoenberg,1874,1951.0,,NA
Adam de Saint Victor,Adam de Saint Victor (1068-1146),In natale,https://open.spotify.com/track/5xwkrWrVBRCmTVe9dmpWTN,Adam de Saint Victor,1068,1146.0,,NA
Guillaume de Machaut,Guillaume de Machaut (1300-1377),Messe de Nostre Dame: Kyrie,https://open.spotify.com/track/0GdtnJydzs1827lp6s5Gfp,Guillaume de Machaut,1300,1377.0,,NA
Francis Poulenc,Francis Poulenc (1899-1963),Nocturnes n°7 en mi majeur,https://open.spotify.com/track/7mquylOh2B6j5YiU36CP1m,Francis Poulenc,1899,1963.0,1901.0,database
György Ligeti,György Ligeti (1923-2006),"Musica ricercata: No. 7, Cantabile, molto legato",https://open.spotify.com/track/3mWP6hxaJJUwrq3XPrL5Io,György Ligeti,1923,2006.0,,NA
